world,partner,ap,value,pathString
world,MHH ,AP 1,516860,
world,MHH ,AP 2,358000,
world,MHH ,AP 3,53229,
world,EKUT ,AP 2,104747,
world,EKUT ,AP 3,259303,
world,EKUT ,AP 6,358000,
world,Charité ,AP 1,271310,
world,Charité ,AP 2,78988,
world,Charité ,AP 3,279896,
world,Charité ,AP 4,53229,
world,Charité ,AP 6,358000,
world,Charité ,AP 7,175149,
world,Charité ,AP DZHK,74676,
world,UMG,AP 1,209494,
world,UMG,AP 3,104747,
world,UMG,AP 5,61815,
world,UMG,AP 6,358000,
world,UMG,AP DZHK,498968,
world,UKK,AP 1,37766,
world,UKK,AP 6,358000,
world,UKSH Kiel,AP 1,80698,
world,UKSH Kiel,AP 6,179000,
world,LMU,AP 1,78988,
world,LMU,AP 6,358000,
world,TUM,AP 1,25759,
world,TUM,AP 2,53229,
world,TUM,AP 4,25759,
world,UKA,AP 1,53229,
world,UKA,AP 3,89284,
world,UKA,AP 6,358000,
world,UKB,AP 1,175149,
world,UKB,AP 4,17173,
world,UKB,AP 6,358000,
world,UKEr,AP 1,8586,
world,UKEr,AP 2,113334,
world,FAU,AP 1,70402,
world,FAU,AP 2,44642,
world,UKF,AP 1,70402,
world,UKF,AP 6,358000,
world,UKJ,AP 1,44642,
world,UKJ,AP 6,358000,
world,UKL,AP 1,87574,
world,UKL,AP 6,358000,
world,UKHD,AP 6,358000,
world,UKHD,AP 1,236964,
world,UKHD,AP 2,53229,
world,UKHD,AP 4,61815,
world,UKSH Lübeck,AP 1,51519,
world,UKSH Lübeck,AP 2,25759,
world,UKSH Lübeck,AP 6,179000,
world,UKU,AP 1,25759,
world,UKU,AP 6,358000,
world,UMDD,AP 1,44642,
world,UMDD,AP 6,358000,
world,UMM,AP 1,25759,
world,UMM,AP 2,70402,
world,UMM,AP 6,358000,
world,UKE,AP 6,358000,
world,UKFR,AP 6,358000,
world,UKGM,AP 6,358000,
world,UKH,AP 6,358000,
world,UKW,AP 6,358000,
world,UM,AP 6,358000,
world,UMMD,AP 6,358000,
world,WWU,AP 6,358000,
world,UKAU,AP 6,499000,
world,UKD,AP 6,490000,
world,UKR,AP 6,499000,
world,UKS,AP 6,499000,
world,UMR,AP 6,499000,
